symbol,profitable,total_profit_usd,final_capital,trade_type,entry_price,exit_price,profit_pct,exit_reason,duration_hours,entry_time,exit_time
1000000BOBUSDT,True,199.99999999999986,2200.0,short,0.10968,0.09871200000000001,9.999999999999993,Target Hit,3.0,2025-06-05 08:00:00,2025-06-05 11:00:00
A2ZUSDT,False,-59.99999999999993,1940.0,short,0.005137,0.00529111,-2.999999999999997,Stop Loss,1.0,2025-07-30 08:00:00,2025-07-30 09:00:00
AAVEUSDC,False,-60.000000000000064,1940.0,long,287.31,278.6907,-3.0000000000000036,Stop Loss,14.0,2025-06-16 08:00:00,2025-06-16 22:00:00
ADAUSDC,True,200.00000000000003,2200.0,short,0.9587,0.86283,10.0,Target Hit,14.0,2025-03-06 10:00:00,2025-03-07 00:00:00
AERGOUSDT,False,-59.999999999999915,1940.0,long,0.38935,0.3776695,-2.9999999999999956,Stop Loss,1.0,2025-04-16 11:00:00,2025-04-16 12:00:00
AGTUSDT,False,-59.99999999999996,1940.0,long,0.031015,0.03008455,-2.999999999999998,Stop Loss,1.0,2025-05-20 10:00:00,2025-05-20 11:00:00
AI16ZUSDT,False,-59.999999999999986,1940.0,long,2.081,2.01857,-2.999999999999999,Stop Loss,1.0,2025-01-02 13:00:00,2025-01-02 14:00:00
AINUSDT,True,200.0000000000003,2200.0000000000005,long,0.09325,0.10257500000000001,10.000000000000014,Target Hit,1.0,2025-07-10 10:00:00,2025-07-10 11:00:00
AIOTUSDT,True,200.0000000000004,2200.0000000000005,long,0.25553,0.281083,10.00000000000002,Target Hit,1.0,2025-04-30 12:00:00,2025-04-30 13:00:00
AIOUSDT,False,-60.000000000000156,1939.9999999999998,long,0.12512,0.1213664,-3.0000000000000075,Stop Loss,1.0,2025-08-13 11:00:00,2025-08-13 12:00:00
AIXBTUSDT,True,200.0000000000003,2200.0000000000005,long,0.29049,0.3195390000000001,10.000000000000016,Target Hit,1.0,2024-12-20 18:00:00,2024-12-20 19:00:00
ALCHUSDT,False,-60.00000000000018,1939.9999999999998,long,0.20275,0.1966675,-3.000000000000009,Stop Loss,1.0,2025-01-07 11:00:00,2025-01-07 12:00:00
ALLUSDT,False,-28.84615384615366,1971.1538461538464,short,1.04,1.055,-1.4423076923076827,End of Data,23.0,2025-08-06 09:00:00,2025-08-07 08:00:00
ALPINEUSDT,False,-60.000000000000064,1940.0,long,1.1695,1.134415,-3.000000000000003,Stop Loss,1.0,2025-05-06 09:00:00,2025-05-06 10:00:00
ANIMEUSDT,False,-60.00000000000016,1939.9999999999998,long,0.0937,0.090889,-3.000000000000008,Stop Loss,1.0,2025-01-23 17:00:00,2025-01-23 18:00:00
ARCUSDT,False,-60.000000000000206,1939.9999999999998,long,0.349,0.33852999999999994,-3.00000000000001,Stop Loss,2.0,2025-01-17 13:00:00,2025-01-17 15:00:00
